order,indices,coefficient
1,787,9.054365505307236E-5
1,806,-9.02007399790133E-5
1,797,-9.006738402247543E-5
1,656,-9.000299541719866E-5
1,414,8.992523882647828E-5
1,790,8.938624578678207E-5
1,373,8.896508530119463E-5
1,371,8.886990741905903E-5
1,434,8.857702648525223E-5
1,374,8.821846197416787E-5
1,591,8.748505749129766E-5
1,628,-8.739864968626645E-5
1,630,8.736177144809659E-5
1,611,-8.709021389501868E-5
1,187,8.70796568089289E-5
1,567,8.66596837216742E-5
1,219,8.65934526964331E-5
1,744,8.656533835210525E-5
1,963,8.640203008114597E-5
1,378,-8.604003356201917E-5
1,403,8.58596890867771E-5
1,691,-8.567792051935758E-5
1,948,8.513924790325236E-5
1,863,-8.512874286836908E-5
1,618,8.506231088312138E-5
1,404,8.420714515859424E-5
1,886,8.417350310846988E-5
1,722,8.375771020433682E-5
1,238,8.365562479649064E-5
1,585,-8.345354295794385E-5
1,1,8.313488924245426E-5
1,657,-8.307386366634544E-5
1,289,8.268465748912788E-5
1,412,-8.249766001980264E-5
1,179,-8.248020811854563E-5
1,911,8.245612488705443E-5
1,659,-8.236751698525069E-5
1,716,-8.188785407917854E-5
1,208,-8.171100095653925E-5
1,27,-8.144748142686164E-5
1,349,8.133447525544544E-5
1,287,-8.126274884903607E-5
1,188,8.106972776361152E-5
1,864,-8.096033308668138E-5
1,39,-8.065254065451641E-5
1,520,-8.059379142049283E-5
1,473,-8.046010119128464E-5
1,805,7.992778520616209E-5
1,951,7.979009823487844E-5
1,293,-7.97756107577958E-5
1,672,7.897622120627377E-5
1,494,-7.857591183414522E-5
1,879,7.815633567142738E-5
1,823,-7.802274544125249E-5
1,856,7.725061303981064E-5
1,940,-7.722798441917976E-5
1,755,7.717796615306281E-5
1,595,-7.67451009153412E-5
1,813,-7.625168715786574E-5
1,423,7.617914322018149E-5
1,139,-7.594055035450346E-5
1,781,7.520885282385128E-5
1,369,-7.517222597652276E-5
1,236,-7.504902428611246E-5
1,171,7.49602926344283E-5
1,643,7.418852318113505E-5
1,655,-7.39848375731286E-5
1,355,7.383065035340285E-5
1,13,-7.377648066084132E-5
1,299,-7.365037026477868E-5
1,960,-7.32463186018303E-5
1,572,7.308484047152683E-5
1,483,7.294664908789754E-5
1,31,-7.276812593804186E-5
1,688,7.26009014300496E-5
1,676,7.219538698295947E-5
1,123,-7.204500187851307E-5
1,622,7.0782125538539E-5
1,558,-7.06945042247483E-5
1,189,7.067378976064893E-5
1,683,7.027990623581177E-5
1,115,6.999428852764647E-5
1,956,6.983237436449888E-5
1,704,6.949835358981794E-5
1,147,-6.91930540943884E-5
1,235,6.894317444833449E-5
1,583,6.86570822987143E-5
1,808,6.762206569640582E-5
1,873,6.745768798042824E-5
1,518,-6.740006929367504E-5
1,94,6.722215427176934E-5
1,851,6.669383111685833E-5
1,639,-6.649747157385609E-5
1,440,-6.646200264945393E-5
1,96,-6.613229746509025E-5
1,881,-6.583881064547737E-5
1,504,6.55548538930566E-5
1,668,-6.548110862381637E-5
1,387,6.54195319239089E-5
1,647,-6.526538142415853E-5
1,397,-6.519674519644422E-5
1,667,6.513604886257284E-5
1,19,-6.507409303553992E-5
1,157,-6.50310650848149E-5
1,673,-6.486364381464087E-5
1,59,-6.472089311733932E-5
1,765,-6.430021239433815E-5
1,599,-6.425633191199842E-5
1,701,-6.422696594358811E-5
1,352,6.39505266425719E-5
1,206,-6.368728692794023E-5
1,915,-6.367968028335174E-5
1,897,6.355311953781203E-5
1,488,6.327740329112517E-5
1,241,-6.320378053984102E-5
1,789,6.270246026280378E-5
1,341,6.263685945803656E-5
1,509,6.25458815786392E-5
1,930,-6.232796069925748E-5
1,770,-6.208773727534778E-5
1,30,6.17928694798443E-5
1,983,6.165806100876537E-5
1,924,6.146554157948027E-5
1,101,6.14190324131526E-5
1,771,-6.123740700173445E-5
1,973,-6.116955880750404E-5
1,234,6.09490902191165E-5
1,798,-6.059606383295819E-5
1,537,-6.037148519074324E-5
1,821,6.029881936844758E-5
1,964,6.0203810535754175E-5
1,304,-6.012435294525888E-5
1,295,5.984424388719662E-5
1,974,5.941497552553314E-5
1,2,-5.8987458419624604E-5
1,116,-5.888943489564882E-5
1,900,5.842709062325073E-5
1,68,5.8340241637046656E-5
1,153,-5.832759120997455E-5
1,194,5.82499077416305E-5
1,129,-5.8233491434886406E-5
1,46,-5.810251374273136E-5
1,41,5.788614119788846E-5
1,90,-5.7683305440480034E-5
1,942,5.730064378383179E-5
1,127,-5.692542135569387E-5
1,791,5.6872071129180095E-5
1,553,5.680189606988784E-5
1,429,-5.651186666172807E-5
1,158,5.613701232751578E-5
1,505,5.5984784661665956E-5
1,88,-5.597560163942189E-5
1,317,-5.590513142366685E-5
