order,indices,coefficient
1,419,-1.3486268257123838E-4
1,968,-1.3466905832303943E-4
1,413,-1.345679142641915E-4
1,516,1.3445561866618107E-4
1,984,1.3433375954286642E-4
1,51,-1.341002781098622E-4
1,462,1.336127873684549E-4
1,35,1.3338007082231785E-4
1,379,-1.3319361524726086E-4
1,918,1.3274221712835968E-4
1,378,1.321553633794011E-4
1,472,1.318945590857886E-4
1,691,-1.3151707982994178E-4
1,10,1.3142421385535833E-4
1,833,1.3141358044611122E-4
1,274,-1.3072977231392058E-4
1,210,1.3025386035000076E-4
1,277,-1.3016572881783034E-4
1,677,-1.3009231204610773E-4
1,73,1.300796400729787E-4
1,888,-1.297573132243421E-4
1,236,-1.297219377378872E-4
1,952,-1.2960007266862617E-4
1,698,1.295486232520205E-4
1,875,-1.2873647832824285E-4
1,146,1.286627968982043E-4
1,877,1.286568043052328E-4
1,78,1.2852250918442818E-4
1,927,1.283611121557504E-4
1,798,-1.2834293973202078E-4
1,250,-1.278339017211594E-4
1,925,-1.2749414563808666E-4
1,418,-1.272827286970678E-4
1,581,1.272090442377631E-4
1,556,-1.2680002366399345E-4
1,284,-1.264864112897295E-4
1,182,-1.2622890370293953E-4
1,23,1.2579203657175594E-4
1,173,-1.253656132613641E-4
1,249,1.251994098364503E-4
1,586,1.2517372305869965E-4
1,451,1.2517202706676775E-4
1,775,-1.244851272850745E-4
1,55,1.2446605142375495E-4
1,520,1.241032703128652E-4
1,434,1.2390373104004493E-4
1,21,1.233020790211493E-4
1,642,-1.2329412368225373E-4
1,601,1.232365043837673E-4
1,811,-1.2302864238458963E-4
1,356,-1.2286695636232564E-4
1,884,1.2252452686061999E-4
1,743,1.2239906641025E-4
1,550,1.2200298061147515E-4
1,970,1.2158235638080101E-4
1,406,1.2154351473353281E-4
1,699,1.211647614963278E-4
1,285,1.2111393286542174E-4
1,136,1.2040412137398067E-4
1,499,-1.2023243959866905E-4
1,667,1.1977630755412255E-4
1,489,1.197651339310025E-4
1,963,-1.192358529474693E-4
1,450,-1.190293120351917E-4
1,571,1.1885596523915197E-4
1,453,1.1850189501414771E-4
1,485,-1.1827835710916167E-4
1,891,-1.17360609934604E-4
1,198,1.1629285815017058E-4
1,69,-1.1619165655989539E-4
1,83,1.1615918415855545E-4
1,710,1.1585975739970333E-4
1,166,-1.157117537167976E-4
1,349,1.1488507796751817E-4
1,318,1.1480549208758475E-4
1,170,-1.1419558380711334E-4
1,461,-1.1406174347618377E-4
1,259,1.1387922794071132E-4
1,86,1.1366377363239622E-4
1,34,1.1324846946012226E-4
1,781,-1.1299429648023142E-4
1,410,1.1265625583784204E-4
1,695,1.1265102717417733E-4
1,573,1.1173565709915738E-4
1,789,1.1097570281308295E-4
1,934,-1.106145394740938E-4
1,460,1.1043698692864766E-4
1,831,-1.1021828477862685E-4
1,487,-1.1012575336704483E-4
1,549,-1.1007627786827648E-4
1,937,-1.0993992637840791E-4
1,290,1.0980407794315209E-4
1,439,1.0944170887238924E-4
1,156,1.0906397857614825E-4
1,351,1.0849690344480814E-4
1,357,1.0846359006585422E-4
1,681,-1.0839418619054968E-4
1,626,1.0778591431296694E-4
1,13,-1.0725927382155256E-4
1,830,-1.0710838605561337E-4
1,123,-1.0590357030155978E-4
1,827,1.0584967289952472E-4
1,659,-1.057595952182894E-4
1,928,1.0571113470738972E-4
1,824,1.0552442392922445E-4
1,898,-1.0515588253466086E-4
1,839,1.0499659298327524E-4
1,704,1.0484742398209093E-4
1,84,-1.0446160371113847E-4
1,505,-1.0431747512392081E-4
1,193,1.0392999696827162E-4
1,862,-1.0349336538157122E-4
1,810,-1.0321952943560883E-4
1,529,-1.0311977314451796E-4
1,583,1.0282225648215032E-4
1,820,-1.0272181831488725E-4
1,754,1.0270904980102769E-4
1,799,-1.0257281683753527E-4
1,848,-1.0248790603580459E-4
1,298,-1.0239749800035598E-4
1,278,-1.0226186204175414E-4
1,878,1.0224015975972381E-4
1,359,1.0203308492966041E-4
1,993,1.0187431231399237E-4
1,369,-1.0059687109098817E-4
1,307,-1.0044913005711039E-4
1,240,-1.0010714837067665E-4
1,473,1.0004359764697301E-4
1,739,9.995760777645077E-5
1,91,9.985777682539348E-5
1,344,9.941446904397751E-5
1,665,-9.894163056707639E-5
1,572,-9.87733681142077E-5
1,818,-9.874167679312845E-5
1,964,9.86560097490097E-5
1,201,9.855066366874409E-5
1,547,9.834024383957368E-5
1,966,-9.798425105853064E-5
1,149,9.795444659713193E-5
1,949,-9.774403085472819E-5
1,350,9.7665313899456E-5
1,177,9.761287901796696E-5
1,253,-9.758214555538327E-5
1,737,-9.672737280870692E-5
1,8,-9.619555874588074E-5
1,567,-9.599520760291297E-5
1,119,9.575389457410865E-5
1,740,9.567384074634447E-5
1,190,-9.56483553957454E-5
1,416,-9.535579168742362E-5
1,215,9.523362899544839E-5
1,814,-9.512682699102417E-5
1,806,9.486686440945752E-5
1,309,9.449872850439524E-5
1,909,-9.375846612191344E-5
1,100,-9.313438488389989E-5
1,816,-9.288833869926058E-5
1,364,-9.267429617376371E-5
1,622,9.26206752543095E-5
1,375,9.258097208649494E-5
1,709,9.226621628067737E-5
1,395,-9.193914437520033E-5
1,551,-9.148054931855496E-5
1,336,9.140031092722761E-5
1,880,9.13381617286494E-5
1,414,9.057408395653646E-5
1,195,-9.041678460567066E-5
1,191,-9.039910168317092E-5
1,400,9.028285157734935E-5
1,510,9.023906924933885E-5
1,491,-8.987746341183822E-5
1,750,-8.927595671379808E-5
1,721,-8.900470201288992E-5
1,498,8.868478993518255E-5
1,200,8.857215460092321E-5
1,1,8.854202849682895E-5
1,209,-8.843278895932003E-5
1,773,-8.801622294867045E-5
1,786,8.758534068997631E-5
1,501,-8.743194149181388E-5
1,985,8.731788197175838E-5
1,834,-8.702069393009838E-5
1,358,8.691768735597969E-5
1,161,-8.691598424464601E-5
1,361,-8.63371261720044E-5
1,75,-8.6250576880534E-5
1,484,-8.617166374759851E-5
1,373,-8.578985767193861E-5
1,702,-8.56951501219403E-5
1,388,8.557769658721612E-5
1,860,-8.55323991356721E-5
1,619,-8.525425711957435E-5
1,720,8.520204575514578E-5
1,151,-8.515183690424084E-5
1,303,-8.514398226932574E-5
1,726,-8.499448429600959E-5
1,241,-8.470316169345301E-5
1,404,-8.412844695075243E-5
1,87,8.41194061232749E-5
1,332,-8.397817118056654E-5
1,145,-8.386659243917092E-5
1,825,8.374267216949618E-5
1,554,8.290686232374573E-5
1,771,-8.268393093183187E-5
1,904,-8.242445944784855E-5
1,411,8.172196125534659E-5
1,797,8.161211639997155E-5
1,734,8.132662873595409E-5
1,52,-8.108232837188964E-5
1,405,8.101112644659835E-5
1,593,8.021290038428697E-5
1,574,-7.997299149928389E-5
1,871,-7.987028603477598E-5
1,106,7.966938413254454E-5
1,847,7.959166075680667E-5
1,179,7.944638778700445E-5
1,74,-7.919875336559771E-5
1,766,7.86089643339538E-5
1,684,-7.838469347737652E-5
1,527,-7.780079423969149E-5
1,481,7.77783328570859E-5
1,294,7.775484375233653E-5
1,321,7.761357451360271E-5
1,924,-7.759130755861524E-5
1,703,7.726093583927133E-5
1,534,7.689763020424635E-5
